"Sr No","Blood Bank Name",Apheresis,"Service Time","Blood Component Available"
1,"G.B. Pant Hospital Blood bank",NO,24X7,YES
2,"I.N.H.S. Dhanvantri",NO,24X7,NO
3,"Pillar Health Centre Blood Bank",NO,24X7,NO
4,"Indian Red Cross Society Blood Bank, District Branch",NO,24x7,YES
5,"Government General Hospital Blood Bank",NO,24x7,YES
6,"Indian Red Cross Society",NO,24x7,YES
7,"Rural Development Trust Hospital Blood Bank",NO,24x7,YES
8,"South Central Railway Hospital Blood Bank",NO,24x7,NO
9,"Indian Red Cross Society Blood Bank",NO,24x7,NO
10,"Indian Red Cross Society Blood bank RCH -II KADIRI",NO,24x7,NO
11,"S.S.S.I.H.M.S. Blood Bank",,24x7,
12,"District Head Quarters Hospital Blood Bank. ",NO,24x7,YES
13,"Indian Red Cross Society",NO,24x7,YES
14,"M/s IRCS Blood Bank.",NO,24x7,NO
15,"M/s PESIMSR Blood Bank.",NO,24X7,YES
16,"Blood Bank AH Madanapalli",NO,24x7,YES
17,"Indian Red Cross Society, Madanapalli RCH 2",NO,24X7,NO
18,"Aswini Hospital Blood Bank, TTD",,24x7,
19,"SVRRGGH - Model Blood Bank",NO,24x7,YES
20,"Sri Venkateswara Institute of Medical sciences Blood Bank",,24x7,
21,"Govt Maternity Hospital Blood Bank",NO,24x7,NO
22," TTD Central Hospital Blood Bank",NO,24x7,NO
23,"S.V.S. Charitable Trust Blood Bank and Transfusion Centre",YES,"24 hrs",YES
24,"Government Hospital",NO,24x7,NO
25,"M/S. Kims & Research Foundation, Hospital Blood Bank",NO,24x7,YES
26,"M/s. A.P.V.V.P Area Hospital Blood Bank  ",NO,24x7,NO
27,"M/s. Government General Hospital, Blood Bank.",,24x7,YES
28,"M/s. Indian Red Cross Society Blood Bank",YES,24x7,YES
29,"M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust)",NO,24x7,NO
30,"District Headquarters Hospital",,24x7,
31,"M/s. G. S. L. Medical College General Hospital Blood Bank",NO,"24 Hours",YES
32,"M/s. Swatantra Hospital,  Blood Bank",NO,"24x7			",NO
33,"M/S. Dhanwantari Voluntary Blood Bank.",YES,"24x7	",YES
34,"M/s. Government Area General Hospital Blood Bank.",NO,24x7,NO
35,"M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness)",NO,"24x7	",NO
36,"Government General Hospital Blood Bank",NO,"24x7	",YES
37,"Indian Red Cross Society",NO,24x7,YES
38,"Indian Red Cross Society Blood Bank ",NO,"24x7	",NO
39,"Lions Club of Guntur Vision Blood Bank",,,YES
40,"Padmavathi Day & Night Blood Bank",,,YES
41,"M/s. Needs Blood Bank ",YES,24x7,YES
42,"M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ",,,YES
43,"Saint Joseph General Hospital Blood Bank",NO,"24x7				",NO
44,"NTR Memorial Trust Blood Bank",,,YES
45,"Katuri Medical College and Hospital Blood Bank ",NO,"24x7	",YES
46,"NRI Medical College and General Hospital Blood Bank",NO,24X7,YES
47,"Manipal Hospital Bloodbank",YES,"24x7	",YES
48,"Indian Red Cross Society Blood Bank. Narassraopet",,24x7,NO
49,"NRT Blood Bank",YES,24X7,YES
50,"Anjireddy Multi Specality Blood Bank ",NO,24X7,YES
51,"Red Cross Blood Bank",NO,24x7,NO
52,"Area Hospital (Repeated)",,24x7,
53,"APVVP District Hospital Blood Bank",,,YES
54,"Rudhira Voluntary Blood Bank",NO,24x7,NO
55,"Best Rotary Blood Bank",NO,24X7,NO
56,"Area Hospital Blood Bank",NO,24x7,NO
57,"Dr. Pattabhi Red Cross Blood Bank ",NO,24x7,NO
58,"Government General Hospital (Repeated)",,24x7,
59,"Government District Headquarters Hospital machilipatnam blood bank",,24x7,NO
60,"Rotary Red Cross Blood Bank",NO,24x7,YES
61,"Vijaya Sri Blood Bank",YES,24x7,YES
62,"Lions Blood Bank",NO,24x7,NO
63,"University General Hospital Blood Bank",NO,"24x7			",NO
64,"M/s. Chaitanya Blood Bank",YES,24x7,YES
65,"Nagarjuna Hospital Blood Bank",,,NO
66,"Saint Ann&#39;s Hospital Blood Bank  ",NO,"24x7	",NO
67,"Rotary Red Cross Blood Bank (Repeated)",,,NO
68,"Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ",NO,"24x7	",YES
69,"Bethesda Blood Bank",,,NO
70,"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ",YES,24x7,YES
71,"Suraksha Voluntary Blood Bank",NO,"24x7	",YES
72,"M/s Ayush Nri Lepl Health Care Private Limited  ",YES,24x7,YES
73,"M/s. Nimra Institute of Medical Sciences ",NO,,YES
74,"RCH -II Blood Bank, Area Hospital, Adoni",NO,24x7,NO
75,"M/s. Indian Red Cross Society Blood Bank RCH 2",NO,24x7,NO
76,"M/s. Government General Hospital Blood Bank",,24x7,
77,"M/s. Indian Red Cross Society Blood Bank",YES,"24x7	",YES
78,"M/s. Viswa Bharathi General Hospital Blood Bank",,,
79,"M/s. Viswa Bharathi Blood Bank",,,
80,"M/s. R.R. Hospital Blood Bank",YES,"24x7	",YES
81,"District Hospital Blood Bank ",NO,24x7,NO
82,"M/s. Shantiram Medical College & General Hospital Blood Bank",,,
83,"Government Hospital Blood Bank",,24x7,
84,"M/s. Area Hospital Blood Bank",NO,24x7,NO
85,"Indian Red Cross Society Blood bank",NO,24x7,NO
86,"M/s. RIMS General Hospital Blood Bank",,24x7,NO
87,"Indian Red Cross Society Blood Bank",NO,24x7,NO
88,"M/s. Life Line Volunytary Blood Bank",NO,"24x7	",NO
89,"M/s. Belief Blood Bank",YES,"24x7			",YES
90,"Government Hospital Blood Bank",NO,24x7,NO
91,"M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED)",,,
92,"M/s. APVVP Area Hospital Blood Bank",,,
93,"M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank",NO,24x7,NO
94,"Indian Red Cross Society Blood Bank",NO,24x7,YES
95,"District Headquarters Hospital (Repeated)",,24x7,
96,"D.S.R. Headquarters Hospital Blood Bank",,,
97,"Narayana Medical College & Hospital Blood Bank",YES,"24x7	",YES
98,"Gems Hospital Blood Bank",NO,"24x7	",NO
99,"GMR Varalakshmi Care Hospital Blood Bank",NO,24x7,YES
100,"Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank",NO,24x7,YES
101,"Indian Red Cross Society (IRCS) Blood Bank",NO,24x7,NO
102,"District Hospital",NO,24x7,YES
103,"M/s. NTR Area Hospital Blood Bank",NO,"8 Hrs",NO
104,"M/s. Visakha Steel General Hospital Blood Bank",NO,"24x7			",NO
105,"M/s. INHS Kalyani Blood Bank",,,NO
106,"M/s. Anil Neerukonda Hospital  Blood Bank",NO,24X7,YES
107,"M/s. King George Hospital (KGH) Blood Bank ",NO,24x7,YES
108,"M/s. Government Victoria Hospital Blood Bank",,24x7,NO
109,"M/s. Indian Red Cross Society Blood Bank ",NO,24x7,YES
110,"M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust)",YES,24x7,YES
111,"M/s. Apollo Hospital Heart & Kidney Centre Blood Bank",NO,24x7,NO
112,"M/s. Seven Hills Hospital Blood Bank",NO,24x7,NO
113," A. S. Raja Voluntary Blood Bank",NO,24x7,YES
114,"M/s. Lions Club of Visakhapatnam Blod Bank Trust  ",NO,"24X7	",YES
115,"M/s. N.T.R. Memorial Trust Blood Bank ",YES,24X7,YES
116,"M/s. Gitam Institute of Medical Sciences and Research Blood Bank ",YES,"24x7		",YES
117,"M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology",NO,"24x7					",YES
118,"Indian Red Cross Society Blood Bank, RCH-II",NO,24x7,NO
119,"District Headquarters Hospital Blood Bank",NO,24x7,YES
120,"Indian Red Cross Society Blood Bank",NO,24x7,NO
121,"Srinivasa Nursing Home Blood Bank ",,,NO
122,"Maharaja Institute of Medical Sciences Blood Bank",,,YES
123,"ASN Raju Charitable Trust Blood Bank",NO,24X7,YES
124,"Uddaraju Anandaraju Foundation Blood Bank",NO,24X7,NO
125,"M/s. Government Headquarters Hospital Blood Bank",NO,24x7,NO
126,"M/s. Indian Red Cross Society Component Blood Bank",NO,24x7,YES
127,"M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank",NO,24X7,YES
128,"M/s. Good Samaritan Blood Bank",NO,24X7,NO
129,"M/s. Indian Red Cross Society Blood Bank jangareddi gudem",NO,24X7,NO
130,"Indian Red Cross Society Blood Bank narasapuram",NO,24x7,NO
131,"Palakol Voluntary Blood Bank",YES,24X7,YES
132,"Indian Red Cross Society Blood Bank Tanuku  (Repeated)",,24x7,
133,"Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank",NO,24x7,NO
134,"Sri Buddala Narasimhamurty Voluntary Blood Bank",YES,24X7,YES
135,"Rajiv Gandhi Institute of Medical Sciences Blood Bank",,24x7,YES
136,"Indian Red Cross Society, Blood Bank",NO,24x7,NO
137,"Boga Parvathamma Blood Bank ",NO,24x7,NO
138,"Rajiv Gandhi Institute of Medical Sciences Blood Bank ",,,YES
139,"Fathima Institute of Medical Sciences Blood Bank",,,YES
140,"District Hospital Blood Bank ",NO,24x7,NO
141,"A.P Vaidyavidhanaparishad Area Hospital Blood Bank",,,YES
142,"A.P. Vaidyavidhanaparishad Area Hospital - IRCS Blood Bank ",NO,24x7,NO
143,"Changlang District Hospital Blood Bank",NO,"24 x 7",NO
144,"Pasighat General Hospital Blood Bank",NO,"24 x 7",NO
145,"Lohit District Hospital Blood Bank",NO,"24 x 7",NO
146,"General Hospital Ziro  Blood Bank",NO,"24 x 7",NO
147,"Ramakrishna Mission Hospital Blood bank",NO,"24 x 7",NO
148,"Arunachal State Hospital Blood Bank",NO,"24 x 7",NO
149,"Tawang District Hospital Blood Bank",NO,"24 x 7",NO
150,"Tawang District Hospital Blood Bank ",,,
151,"District Hospital Blood Bank",,,
152,"Upper Siang District Hospital Blood Bank",NO,"24 x 7",NO
153,"Upper Subansiri District Hospital Blood Bank",NO,"24 x 7",NO
154,"West Siang District Hospital Blood Bank",NO,"24 x 7",NO
155,"Fakhruddin Ali Ahmed (FAA) Medical College Hospital Blood Bank",NO,"24 x 7",NO
156,"Bongaigaon Civil Hospital Blood Bank",NO,"24 x 7",NO
157,"Lower Assam Hospital Blood Bank",NO,"24 x 7",YES
158,"Silchar Medical College and Hospital Blood Bank",NO,"24 x 7",YES
159,"Indian Red Cross Children Hospital Blood Bank",NO,"24 x 7",NO
160,"Barak Blood Bank and Clinical Research Centre",NO,"24 x 7",NO
161,"Bongaigaon Refinery (BRPL) Hospital Blood Bank ",NO,"24 x 7",NO
162,"Mangaldoi Civil Hospital Blood Bank",NO,"24 x 7",NO
163,"Dhemaji Civil Hospital Blood Bank",NO,"24 x 7",NO
164,"Dhubri Civil Hospital Blood Bank",NO,"24 x 7",NO
165,"Assam Medical College and Hospital Blood Bank",NO,"24 x 7",YES
166,"Dr. Damani&#39;s Nursing Home Blood Bank",NO,"24 x 7",NO
167,"Aditya Diagnostic Hospital Blood Bank",NO,"24 x 7",NO
168,"Sri Manta Sankardeva Hospital and Research Centre Blood Bank",NO,"24 x 7",NO
169,"Dirial Central Hospital Blood Bank",NO,"24 x 7",NO
170,"Oil India Limited Hospital Blood Bank",NO,"24 x 7",NO
171,"Haflong Civil Hospital Blood Bank ",NO,"24 x 7",NO
172,"Goalpara Civil Hospital Blood Bank",NO,"24 x 7",NO
173,"Solace Hospital and Research centre Pvt.Ltd Blood bank",NO,"24 x 7",NO
174,"Kushal Konwar (KK) Civil Hospital Blood Bank",NO,"24 x 7",NO
175,"Vivekananda Kendra NRL Hospital Blood Bank",NO,"24 x 7",NO
176,"S. K. Roy Civil Hospital Blood Bank ",NO,"24 x 7",NO
177,"Jorhat Medical College and Hospital Blood Bank ",NO,"24 x 7",YES
178,"Air Force Hospital Blood Bank",NO,"24 x 7",NO
179,"Greater Jorhat Lions Blood Bank",NO,"24 x 7",NO
180,"Mahendra Mohan Choudhury (MMC) Hospital  Blood Bank",NO,"24 x 7",NO
181,"Dispur Blood Bank",NO,"24 x 7",YES
182,"Saharia&#39;s Path Lab & Blood Bank",NO,"24 x 7",YES
183,"International Hospital Blood Bank",NO,"24 x 7",YES
184,"Hayat Hospital Blood Bank",NO,"24 x 7",NO
185,"Rahman Hospital Private Limited Blood Bank",NO,"24 x 7",NO
186,"GNRC Institute of Medical Sciences Blood bank",NO,"24 x 7",YES
