"Sr No","Blood Bank Name",State,District,City,Address,Pincode,Latitude,Longitude
1,"G.B. Pant Hospital Blood bank","Andaman And Nicobar Islands","SOUTH ANDAMAN","Port Blair","Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
",744104,11.6754,92.7473
2,"I.N.H.S. Dhanvantri","Andaman And Nicobar Islands","SOUTH ANDAMAN","Port Blair","Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",744103,11.6497,92.7174
3,"Pillar Health Centre Blood Bank","Andaman And Nicobar Islands","SOUTH ANDAMAN","Port Blair","Lamba Line,
P.B. 526,
P.O. Junglighat, 
Opposite Airport",744104,11.6532,92.7307
4,"Indian Red Cross Society Blood Bank, District Branch","Andhra Pradesh",ANANTAPUR,Anantapur,"Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",515002,14.6549,77.6099
5,"Government General Hospital Blood Bank","Andhra Pradesh",ANANTAPUR,Ananthapur,"Government General Hospital, Ananthapur",515001,14.6715,77.5967
6,"Indian Red Cross Society","Andhra Pradesh",ANANTAPUR,Ananthapur,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",515001,14.6819,77.6006
7,"Rural Development Trust Hospital Blood Bank","Andhra Pradesh",ANANTAPUR,Bathalapalli,"Kadiri Road, Bathalapalli, Ananthapur",515661,14.6529,77.6188
8,"South Central Railway Hospital Blood Bank","Andhra Pradesh",ANANTAPUR,Guntakal,"S.C. Railway Hospital, Guntakal, Ananthapuramu",515801,15.1729,77.3661
9,"Indian Red Cross Society Blood Bank","Andhra Pradesh",ANANTAPUR,Hindupur,"Government General Hospital Blood Bank, Hindupur, Ananthapur
",515201,13.8325,77.4922
10,"Indian Red Cross Society Blood bank RCH -II KADIRI","Andhra Pradesh",ANANTAPUR,Kadiri,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur
",515591,14.1131,78.1574
11,"S.S.S.I.H.M.S. Blood Bank","Andhra Pradesh",ANANTAPUR,Puttaparthy,"Prasanthigram, Puttaparthy, Ananthapuramu",515134,14.1519,77.7768
12,"District Head Quarters Hospital Blood Bank. ","Andhra Pradesh",CHITTOOR,Chittoor,"Head Quarters  Hospital Compound, Chittoor",517001,13.2172,79.1003
13,"Indian Red Cross Society","Andhra Pradesh",CHITTOOR,Chittoor,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",517001,13.2172,79.1003
14,"M/s IRCS Blood Bank.","Andhra Pradesh",CHITTOOR,Chittoor,"D.No. 20 - 119, Prakasam High Road, Chittor",517001,13.217,79.1008
15,"M/s PESIMSR Blood Bank.","Andhra Pradesh",CHITTOOR,Kuppam,"PES Institute of medical sciences premises, Kuppam
",517425,12.7912,78.3639
16,"Blood Bank AH Madanapalli","Andhra Pradesh",CHITTOOR,Madanapalli," The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",517325,13.2172,79.1003
17,"Indian Red Cross Society, Madanapalli RCH 2","Andhra Pradesh",CHITTOOR,Madnapalli,"Area Hospital, Patel Road, Madanapalli.
",517325,13.5569,78.5008
18,"Aswini Hospital Blood Bank, TTD","Andhra Pradesh",CHITTOOR,Tirumala,"Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor ",517507,13.6773,79.3487
19,"SVRRGGH - Model Blood Bank","Andhra Pradesh",CHITTOOR,Tirupati,"S.V.R.R. Government General Hospital, Tirupati
",517502,13.6444,79.407
20,"Sri Venkateswara Institute of Medical sciences Blood Bank","Andhra Pradesh",CHITTOOR,Tirupati,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",517507,13.6379,79.4039
21,"Govt Maternity Hospital Blood Bank","Andhra Pradesh",CHITTOOR,Tirupati,"Ruia Hospital Road, Tirupati",517507,13.6394,79.4094
22," TTD Central Hospital Blood Bank","Andhra Pradesh",CHITTOOR,Tirupati,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati
",517501,13.6421,79.4211
23,"S.V.S. Charitable Trust Blood Bank and Transfusion Centre","Andhra Pradesh",CHITTOOR,Tirupati,"10-13-514, 1st Floor, Reddy & Reddy Colony, Tirupathi",517501,0,0
24,"Government Hospital","Andhra Pradesh","EAST GODAVARI",Amalapuram,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",533201,16.5874,82.0084
25,"M/S. Kims & Research Foundation, Hospital Blood Bank","Andhra Pradesh","EAST GODAVARI",Amalapuram,"Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.",533201,16.5922,82.024
26,"M/s. A.P.V.V.P Area Hospital Blood Bank  ","Andhra Pradesh","EAST GODAVARI",Amalapuram,"Ground Floor Area Hospital, Amalapuram",533201,16.5754,81.9981
27,"M/s. Government General Hospital, Blood Bank.","Andhra Pradesh","EAST GODAVARI",Kakinada,"Government General Premises, Ground Floor, Kakinada",533001,16.9555,82.2275
28,"M/s. Indian Red Cross Society Blood Bank","Andhra Pradesh","EAST GODAVARI",Kakinada,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",533004,16.9891,82.2475
29,"M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust)","Andhra Pradesh","EAST GODAVARI",Kakinada,"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada
",533001,0,0
30,"District Headquarters Hospital","Andhra Pradesh","EAST GODAVARI",Rajahmundry,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",533101,17.0197,81.7916
31,"M/s. G. S. L. Medical College General Hospital Blood Bank","Andhra Pradesh","EAST GODAVARI",Rajahmundry,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",533296,0,0
32,"M/s. Swatantra Hospital,  Blood Bank","Andhra Pradesh","EAST GODAVARI",Rajahmundry,"D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.",533103,0,0
33,"M/S. Dhanwantari Voluntary Blood Bank.","Andhra Pradesh","EAST GODAVARI",Rajahmundry,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",533103,17.0079,81.7852
34,"M/s. Government Area General Hospital Blood Bank.","Andhra Pradesh","EAST GODAVARI",Tuni,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni
",533401,17.3549,82.5412
35,"M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness)","Andhra Pradesh","EAST GODAVARI",Tuni,"D.No: 3-5-9, Opposite to Raithu Bazar, Lalam Satyanarayana Hospital Street, Tuni
",533401,0,0
36,"Government General Hospital Blood Bank","Andhra Pradesh",GUNTUR,Guntur,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.
",522001,16.2997,80.4437
37,"Indian Red Cross Society","Andhra Pradesh",GUNTUR,Guntur,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",522004,16.3067,80.4365
38,"Indian Red Cross Society Blood Bank ","Andhra Pradesh",GUNTUR,"Guntur city","Zilla Parishad Compound, Nagarampalem, GUNTUR
",522004,16.3067,80.4365
39,"Lions Club of Guntur Vision Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","1st Floor, Somuvari Street, Kothapeta, Guntur",522001,0,0
